Date,1 MO,3 MO,6 MO,1 YR,2 YR,3 YR,5 YR,7 YR,10 YR,20 YR,30 YR
1990-01-02,7.71769530893,7.83,7.89,7.81,7.87,7.9,7.87,7.98,7.94,8.4106022595,8.0
1990-01-03,7.77481249736,7.89,7.94,7.85,7.94,7.96,7.92,8.04,7.99,8.46778434457,8.04
1990-01-04,7.71800409193,7.84,7.9,7.82,7.92,7.93,7.91,8.02,7.98,8.44934568859,8.04
1990-01-05,7.67471823112,7.79,7.85,7.79,7.9,7.94,7.92,8.03,7.99,8.46435155751,8.06
1990-01-08,7.65615532666,7.79,7.88,7.81,7.9,7.95,7.92,8.05,8.02,8.51581347301,8.09
1990-01-09,7.71105600899,7.8,7.82,7.78,7.91,7.94,7.92,8.05,8.02,8.51119251744,8.1
1990-01-10,7.66102834712,7.75,7.78,7.77,7.91,7.95,7.92,8.0,8.03,8.48664998621,8.11
1990-01-11,7.72676976091,7.8,7.8,7.77,7.91,7.95,7.94,8.01,8.04,8.48446727641,8.11
1990-01-12,7.61083482923,7.74,7.81,7.76,7.93,7.98,7.99,8.07,8.1,8.55678600826,8.17
1990-01-16,7.72986095554,7.89,7.99,7.92,8.1,8.13,8.11,8.18,8.2,8.65289502941,8.25
1990-01-17,7.87812588637,7.97,7.97,7.91,8.09,8.11,8.11,8.17,8.19,8.63234402229,8.25
1990-01-18,7.92639346478,8.04,8.08,8.05,8.25,8.28,8.27,8.31,8.32,8.74097535936,8.35
1990-01-19,7.91181005068,8.0,8.01,8.0,8.2,8.23,8.2,8.24,8.26,8.67753602936,8.29
1990-01-22,7.90731251534,7.99,7.99,7.98,8.18,8.2,8.19,8.25,8.27,8.70281909821,8.31
1990-01-23,7.82179328992,7.93,7.97,7.97,8.18,8.2,8.18,8.23,8.26,8.68159651254,8.29
1990-01-24,7.8204406163,7.93,7.99,8.0,8.2,8.29,8.28,8.34,8.38,8.82062543806,8.41
1990-01-25,7.83909099091,7.95,8.01,8.03,8.24,8.32,8.31,8.39,8.42,8.87944219776,8.46
1990-01-26,7.78921111197,7.93,8.04,8.07,8.28,8.38,8.38,8.45,8.49,8.9558892739,8.55
1990-01-29,7.85987187418,8.0,8.09,8.08,8.3,8.39,8.39,8.45,8.5,8.95485204394,8.54
1990-01-30,7.81888274987,8.0,8.14,8.09,8.3,8.39,8.43,8.47,8.51,8.95049527373,8.55
1990-01-31,7.82596858354,8.0,8.13,8.08,8.28,8.36,8.35,8.39,8.43,8.86810521776,8.46
1990-02-01,7.86329217273,8.02,8.13,8.09,8.28,8.35,8.35,8.38,8.42,8.84145578497,8.44
1990-02-02,7.90914650816,8.07,8.17,8.13,8.37,8.43,8.42,8.46,8.5,8.92939856644,8.51
1990-02-05,7.92594402365,8.08,8.18,8.15,8.37,8.43,8.44,8.48,8.53,8.9526330505,8.53
1990-02-06,7.93741540864,8.09,8.17,8.15,8.42,8.43,8.49,8.52,8.57,8.97755814764,8.58
1990-02-07,7.9102304586,8.08,8.19,8.17,8.42,8.43,8.51,8.53,8.52,8.93029842309,8.57
